subj_id,i,loss,alpha,tta_crit,beta,d_crit,noise,b_0,k,tta_crit,nondectime,halfwidth
129,0,0.4396380082977528,1.4819594851063635,3.8572627812325697,0.020160848455138155,149.53285283882664,1,1.3912324952461046,0.9333496023220538,3.8572627812325697,0.3698929409468326,0.08392085091559255
129,1,0.439315013023788,1.4827922531815279,3.889204239568434,0.020016569362045267,147.67152224767233,1,1.4025528964393719,1.0408620793184225,3.889204239568434,0.3595203961449988,0.000564734942631262
129,2,0.43810336688676665,1.4970592766951,3.8699288146562867,0.01978296529841748,149.3659684175738,1,1.3893966747213096,1.034237166867938,3.8699288146562867,0.35865145367938783,0.029681531366227393
129,3,0.4394304133124572,1.4888027205010237,3.916311185803439,0.020070163964447194,146.40957597111705,1,1.4313536017366486,0.9181779303667061,3.916311185803439,0.3639262505466562,0.013782598239627741
129,4,0.4391964819616919,1.5086895323854572,3.8218298776965884,0.020223625402069567,149.94682721548375,1,1.4006320860719745,1.0324419212980716,3.8218298776965884,0.35016141731843303,0.06430758712852098
389,0,0.31202528034828253,1.6239755210767455,4.206904651799265,0.05368370622068219,142.18559554926014,1,0.7682572639941059,0.10095086006917753,4.206904651799265,0.495471654527869,0.17010085519241805
389,1,0.3121995580437918,1.602563318325058,5.897974275974883,0.05306841780721909,109.96688094991082,1,0.877626190825416,0.10556332154813337,5.897974275974883,0.49893582544316184,0.1724739203045569
389,2,0.31328760654849075,1.6208515180104004,5.959480890214138,0.052496963822270204,109.13116496571831,1,0.861524002258355,0.10327240311094987,5.959480890214138,0.4965532817252643,0.179922109237994
389,3,0.31237866286201427,1.578125153011989,4.672040700456709,0.053682172188639576,133.02359370345522,1,0.823794544267161,0.11202640924435969,4.672040700456709,0.49647595598106337,0.1732264412826954
389,4,0.31312804024817825,1.4952466715000903,5.399703803049869,0.0542283540189315,119.10941927203974,1,0.896729242262015,0.10474692427294563,5.399703803049869,0.48518963109412205,0.16901936540081647
525,0,0.22378992266030562,1.2020494480955344,4.672284328744479,0.02634941703522936,109.53542808058657,1,0.9639023542656788,0.10345699743452881,4.672284328744479,0.21063936157766366,0.11983314295999037
525,1,0.22362351608787603,1.2063992349473471,3.894202370008878,0.026220398962317922,139.18836759739622,1,0.9271092374367226,0.1058403829538965,3.894202370008878,0.21014106908715743,0.1328857779092936
525,2,0.2239903299356449,1.2207127100595145,4.681691953709015,0.026376042104107683,109.56738799626224,1,0.9456048284385606,0.10347337513826212,4.681691953709015,0.21551611625214495,0.13257722105172265
525,3,0.22365906170981167,1.1768728464960891,4.098419670293923,0.026156255176159826,130.0967403549742,1,0.9756874506793292,0.10143339061828394,4.098419670293923,0.20156155696123843,0.11143844964093604
525,4,0.22345388238512834,1.1626267634040024,4.102786788055394,0.026230236639863347,130.04260015709167,1,0.9665286578297327,0.10200811065645132,4.102786788055394,0.20195272146242935,0.11359854604215075
616,0,0.2011165782254356,1.7472017329101908,4.495356681841564,0.040990130604368034,149.7654384539878,1,0.9345986734495159,0.235206801753901,4.495356681841564,0.4888068495874413,0.13385814316872846
616,1,0.20050718789818253,1.8350289787365297,4.702344792730013,0.03976993658673192,145.62323652447208,1,0.9192994713300909,0.2976755245884181,4.702344792730013,0.49620505430108275,0.13614552105597671
616,2,0.20185520034855814,1.7513142146686191,5.637178147519711,0.042615385932739835,123.00649710676677,1,1.0071790330852874,0.15169688186626173,5.637178147519711,0.49599383365113026,0.1478052630017159
